Rank,Name,Platform,Year,Genre,Publisher,,,,,,,,
1,Wii Sports,Wii,2006,Sports,Nintendo,,,,,,,,
2,Mario Kart 8 Deluxe,NS,2017,Racing,Nintendo,,,,,,,,
3,Animal Crossing: New Horizons,NS,2020,Simulation,Nintendo,,,,,,,,
4,Super Mario Bros.,NES,1985,Platform,Nintendo,,,,,,,,
5,Counter-Strike: Global Offensive,PC,2012,Shooter,Valve,,,,,,,,
6,Mario Kart Wii,Wii,2008,Racing,Nintendo,,,,,,,,
7,PLAYERUNKNOWN'S BATTLEGROUNDS,PC,2017,Shooter,PUBG Corporation,,,,,,,,
8,Minecraft,PC,2010,Misc,Mojang,,,,,,,,
9,Wii Sports Resort,Wii,2009,Sports,Nintendo,,,,,,,,
10,Super Smash Bros. Ultimate,NS,2018,Fighting,Nintendo,,,,,,,,
11,Pok?on Red / Green / Blue Version,GB,1998,Role-Playing,Nintendo,,,,,,,,
12,New Super Mario Bros.,DS,2006,Platform,Nintendo,,,,,,,,
13,The Legend of Zelda: Breath of the Wild,NS,2017,Action-Adventure,Nintendo,,,,,,,,
14,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,,,,,,,,
15,Tetris,GB,1989,Puzzle,Nintendo,,,,,,,,
16,Duck Hunt,NES,1985,Shooter,Nintendo,,,,,,,,
17,Wii Play,Wii,2007,Misc,Nintendo,,,,,,,,
18,Super Mario Odyssey,NS,2017,Platform,Nintendo,,,,,,,,
19,Pok?on Sword / Shield,NS,2019,Role-Playing,Nintendo,,,,,,,,
20,Nintendogs,DS,2005,Simulation,Nintendo,,,,,,,,
21,Mario Kart DS,DS,2005,Racing,Nintendo,,,,,,,,
22,Pok?on Gold / Silver Version,GB,2000,Role-Playing,Nintendo,,,,,,,,
23,Terraria,PC,2011,Platform,Re-Logic,,,,,,,,
24,Wii Fit,Wii,2008,Sports,Nintendo,,,,,,,,
25,Pok?on Scarlet / Violet,NS,2022,Role-Playing,Nintendo,,,,,,,,
26,Wii Fit Plus,Wii,2009,Sports,Nintendo,,,,,,,,
27,Super Mario World,SNES,1991,Platform,Nintendo,,,,,,,,
28,Grand Theft Auto V,PS3,2013,Action,Rockstar Games,,,,,,,,
29,Marvel's Spider-Man,PS4,2018,Action-Adventure,Sony Interactive Entertainment,,,,,,,,
30,God of War (2018),PS4,2018,Action,Sony Interactive Entertainment,,,,,,,,
31,Grand Theft Auto V,PS4,2014,Action,Rockstar Games,,,,,,,,
32,Brain Age: Train Your Brain in Minutes a Day,DS,2006,Misc,Nintendo,,,,,,,,
33,Mario Kart 7,3DS,2011,Racing,Nintendo,,,,,,,,
34,The Legend of Zelda: Tears of the Kingdom,NS,2023,Action-Adventure,Nintendo,,,,,,,,
35,Super Mario Land,GB,1989,Platform,Nintendo,,,,,,,,
36,Pok?on Diamond / Pearl Version,DS,2007,Role-Playing,Nintendo,,,,,,,,
37,Grand Theft Auto: San Andreas,PS2,2004,Action,Rockstar Games,,,,,,,,
38,Super Mario Bros. 3,NES,1990,Platform,Nintendo,,,,,,,,
39,Garry's Mod,PC,2006,Misc,Valve,,,,,,,,
40,Pok?on X/Y,3DS,2013,Role-Playing,Nintendo,,,,,,,,
41,Pok?on Sun/Moon,3DS,2016,Role-Playing,Nintendo,,,,,,,,
42,Uncharted 4: A Thief's End,PS4,2016,Action,Sony Interactive Entertainment,,,,,,,,
43,Pok?on Ruby / Sapphire Version,GBA,2003,Role-Playing,Nintendo,,,,,,,,
44,New Super Mario Bros. U Deluxe,NS,2019,Platform,Nintendo,,,,,,,,
45,Grand Theft Auto: Vice City,PS2,2002,Action,Rockstar Games,,,,,,,,
46,The Witcher 3: Wild Hunt,PC,2015,Role-Playing,Warner Bros. Interactive Entertainment,,,,,,,,
47,Grand Theft Auto V,X360,2013,Action,Rockstar Games,,,,,,,,
48,Pok?on Black / White Version,DS,2011,Role-Playing,Nintendo,,,,,,,,
49,Ring Fit Adventure,NS,2019,Misc,Nintendo,,,,,,,,
50,Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,,,,,,,,
51,"Pok?on: Let's Go, Pikachu/Eevee",NS,2018,Role-Playing,Nintendo,,,,,,,,
52,Counter-Strike: Source,PC,2004,Shooter,VU Games,,,,,,,,
53,Sonic the Hedgehog,GEN,1991,Platform,Sega,,,,,,,,
54,Pok?on Brilliant Diamond / Shining Pearl,NS,2021,Role-Playing,Nintendo,,,,,,,,
55,Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,,,,,,,,
56,Brain Age 2: More Training in Minutes a Day,DS,2007,Misc,Nintendo,,,,,,,,
57,Pok?on Legends: Arceus,NS,2022,Role-Playing,Nintendo,,,,,,,,
58,Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,,,,,,,,
59,Call of Duty: Black Ops,X360,2010,Shooter,Activision,,,,,,,,
60,Pok?on Yellow: Special Pikachu Edition,GB,1999,Role-Playing,Nintendo,,,,,,,,
61,Pok?on Omega Ruby/Pok?on Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,,,,,,,,
62,Halo 3,X360,2007,Shooter,Microsoft Game Studios,,,,,,,,
63,Red Dead Redemption 2,PS4,2018,Action-Adventure,Rockstar Games,,,,,,,,
64,Call of Duty: Black Ops II,X360,2012,Shooter,Activision,,,,,,,,
65,Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,,,,,,,,
66,Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,,,,,,,,
67,New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,,,,,,,,
68,Call of Duty: WWII,PS4,2017,Shooter,Activision,,,,,,,,
69,Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,,,,,,,,
70,Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,,,,,,,,
71,Splatoon 2,NS,2017,Shooter,Nintendo,,,,,,,,
72,Grand Theft Auto III,PS2,2001,Action,Rockstar Games,,,,,,,,
73,Portal 2,PC,2011,Shooter,Valve,,,,,,,,
74,Animal Crossing: New Leaf,3DS,2013,Simulation,Nintendo,,,,,,,,
75,Minecraft,X360,2013,Misc,Microsoft Studios,,,,,,,,
76,Stardew Valley,PC,2016,Simulation,Chucklefish,,,,,,,,
77,Super Mario 3D Land,3DS,2011,Platform,Nintendo,,,,,,,,
78,Luigi's Mansion 3,NS,2019,Action-Adventure,Nintendo,,,,,,,,
79,Super Mario Galaxy,Wii,2007,Platform,Nintendo,,,,,,,,
80,Pok?on Heart Gold / Soul Silver Version,DS,2010,Role-Playing,Nintendo,,,,,,,,
81,Call of Duty: Black Ops,PS3,2010,Shooter,Activision,,,,,,,,
82,Grand Theft Auto V,PC,2015,Action,Rockstar Games,,,,,,,,
83,The Witcher 3: Wild Hunt,PS4,2015,Role-Playing,Warner Bros. Interactive Entertainment,,,,,,,,
84,Diablo III,PC,2012,Role-Playing,Blizzard Entertainment,,,,,,,,
85,Half-Life 2,PC,2004,Shooter,VU Games,,,,,,,,
86,Pok?on FireRed / LeafGreen Version,GBA,2004,Role-Playing,Nintendo,,,,,,,,
87,Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,,,,,,,,
88,Super Mario 64,N64,1996,Platform,Nintendo,,,,,,,,
89,FIFA 18,PS4,2017,Sports,EA Sports,,,,,,,,
90,The Last of Us Remastered,PS4,2014,Action-Adventure,Sony Computer Entertainment,,,,,,,,
91,Gran Turismo 4,PS2,2005,Racing,Sony Computer Entertainment,,,,,,,,
92,Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,,,,,,,,
93,Super Mario 3D World + Bowser's Fury,NS,2021,Platform,Nintendo,,,,,,,,
94,Super Mario Land 2: 6 Golden Coins,GB,1992,Platform,Nintendo,,,,,,,,
95,Grand Theft Auto IV,X360,2008,Action,Rockstar Games,,,,,,,,
96,Super Mario 64 DS,DS,2004,Platform,Nintendo,,,,,,,,
97,Super Mario 64 DS,DS,2004,Platform,Nintendo,,,,,,,,
98,StarCraft,PC,1998,Strategy,Blizzard Entertainment,,,,,,,,
99,FIFA 17,PS4,2016,Sports,Electronic Arts,,,,,,,,
100,Gran Turismo,PS,1998,Racing,Sony Computer Entertainment,,,,,,,,
101,Splatoon 3,NS,2022,Shooter,Nintendo,,,,,,,,
102,Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,,,,,,,,
103,Grand Theft Auto IV,PS3,2008,Action,Rockstar Games,,,,,,,,
104,Super Mario All-Stars,SNES,1993,Platform,Nintendo,,,,,,,,
105,Call of Duty: Ghosts,X360,2013,Shooter,Activision,,,,,,,,
106,Call of Duty: Ghosts,PS3,2013,Shooter,Activision,,,,,,,,
107,Horizon: Zero Dawn,PS4,2017,Action-Adventure,Sony Interactive Entertainment,,,,,,,,
108,Just Dance 2,Wii,2010,Misc,Ubisoft,,,,,,,,
109,Just Dance 3,Wii,2011,Misc,Ubisoft,,,,,,,,
110,RollerCoaster Tycoon 3,PC,2004,Strategy,Atari,,,,,,,,
111,The Last of Us Part II,PS4,2020,Action,Sony Interactive Entertainment,,,,,,,,
112,Valheim,PC,2021,Action-Adventure,Coffee Stain Publishing,,,,,,,,
113,Portal,PC,2008,Shooter,Valve Corporation,,,,,,,,
114,Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,,,,,,,,
115,Halo 4,X360,2012,Shooter,Microsoft Studios,,,,,,,,
116,Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,,,,,,,,
117,Mario Kart 64,N64,1997,Racing,Nintendo,,,,,,,,
118,Super Smash Bros. for 3DS,3DS,2014,Fighting,Nintendo,,,,,,,,
119,Nintendo Switch Sports,NS,2022,Sports,Nintendo,,,,,,,,
120,Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,,,,,,,,
121,Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,,,,,,,,
122,Wii Party,Wii,2010,Misc,Nintendo,,,,,,,,
123,Call of Duty: Black Ops IIII,PS4,2018,Shooter,Activision,,,,,,,,
124,Mario Party DS,DS,2007,Misc,Nintendo,,,,,,,,
125,Donkey Kong Country,SNES,1994,Platform,Nintendo,,,,,,,,
126,Half-Life,PC,1998,Shooter,Sierra Entertainment,,,,,,,,
127,Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,,,,,,,,
128,Pok?on: Ultra Sun and Ultra Moon,3DS,2017,Role-Playing,Nintendo,,,,,,,,
129,FIFA 19,PS4,2018,Sports,Electronic Arts,,,,,,,,
130,Super Mario 3D All-Stars,NS,2020,Platform,Nintendo,,,,,,,,
131,Rust,PC,2018,Action-Adventure,Facepunch Studios,,,,,,,,
132,The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,,,,,,,,
133,Mario Party 8,Wii,2007,Misc,Nintendo,,,,,,,,
134,Super Mario Kart,SNES,1992,Racing,Nintendo,,,,,,,,
135,Grand Theft Auto V,XOne,2014,Action,Rockstar Games,,,,,,,,
136,Final Fantasy VIII,PS,1999,Role-Playing,Square EA,,,,,,,,
137,Final Fantasy X,PS2,2001,Role-Playing,Square,,,,,,,,
138,Pok?on Black 2 and White 2,DS,2012,Role-Playing,Nintendo,,,,,,,,
139,Call of Duty: Infinite Warfare,PS4,2016,Shooter,Activision,,,,,,,,
140,Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,,,,,,,,
141,Mario Kart 8,WiiU,2014,Racing,Nintendo,,,,,,,,
142,Tekken 3,PS,1998,Fighting,Namco,,,,,,,,
143,FIFA 16,PS4,2015,Sports,EA Sports,,,,,,,,
